		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01.08.23	17:30	15.6	16.1	15.6	60	7.9	1.8	E	1.61	5.4	E	15.6	14.9	14.9	1012.8	0.00	0.0	0.028	0.000	22.2	52	11.8	21.7	9.61	1.1790	348	1	100.0	15
01.08.23	17:45	14.7	15.7	14.7	63	7.7	1.3	SSE	1.21	5.4	E	14.7	14.1	14.1	1012.8	0.00	0.0	0.038	0.000	22.2	53	12.1	21.8	9.77	1.1787	344	1	100.0	15
01.08.23	18:00	14.3	14.7	14.3	66	8.1	0.9	SSW	0.80	2.7	S	14.3	13.8	13.8	1013.1	0.00	0.0	0.042	0.000	22.2	53	12.1	21.8	9.77	1.1790	351	1	100.0	15
01.08.23	18:15	14.1	14.3	14.1	68	8.3	0.9	SSW	0.80	2.2	NNW	14.1	13.6	13.6	1013.1	0.00	0.0	0.044	0.000	22.2	54	12.5	21.9	9.91	1.1785	349	1	100.0	15
01.08.23	18:30	13.5	14.1	13.5	62	6.4	2.7	NW	2.41	4.0	NW	12.9	12.8	12.2	1012.9	0.00	0.0	0.050	0.000	22.7	57	13.7	22.7	10.44	1.1750	347	1	100.0	15
01.08.23	18:45	13.1	13.5	13.0	63	6.2	1.3	NW	1.21	3.6	WNW	13.1	12.4	12.4	1013.1	0.00	0.0	0.055	0.000	22.6	55	13.1	22.4	10.10	1.1764	351	1	100.0	15
01.08.23	19:00	12.7	13.1	12.6	63	5.8	1.3	NNW	1.21	2.7	NW	12.7	12.1	12.1	1013.0	0.00	0.0	0.059	0.000	22.2	55	12.7	21.9	10.11	1.1780	344	1	100.0	15
01.08.23	19:15	12.3	12.7	12.3	62	5.2	1.3	NNW	1.21	3.6	NNW	12.3	11.7	11.7	1013.1	0.00	0.0	0.063	0.000	22.2	55	12.7	21.9	10.11	1.1781	346	1	100.0	15
01.08.23	19:30	11.6	12.3	11.6	64	5.0	1.3	NW	1.21	3.1	WNW	11.6	11.1	11.1	1013.0	0.00	0.0	0.071	0.000	22.1	55	12.6	21.7	10.12	1.1789	351	1	100.0	15
01.08.23	19:45	10.9	11.6	10.9	68	5.3	0.4	NW	0.40	1.8	NW	10.9	10.6	10.6	1013.0	0.00	0.0	0.077	0.000	22.1	56	12.9	21.7	10.32	1.1785	340	1	99.4	15
